"","Watershed","Year","WY","Month","Day","NO3 (ueq/L)","SO4 (ueq/L)","DOC (mg/L)","Discharge (L/sec)","Specific Conductance (us/cm)","ANC"
"1","EB",1986,1987,10,1,0.05,115,NA,NA,NA,NA
"2","WB",1986,1987,10,1,0.05,110,NA,NA,NA,NA
"3","EB",1986,1987,11,13,2,112,NA,NA,NA,NA
"4","EB",1986,1987,11,13,0.05,117,NA,NA,"24.3","12.2"
"5","WB",1986,1987,11,13,3,107,NA,NA,NA,"33.4"
"6","EB",1986,1987,11,17,2,112,NA,NA,"23.4","25.6"
"7","WB",1986,1987,11,17,4,107,NA,NA,NA,"37.2"
"8","EB",1986,1987,11,25,18,105,NA,NA,"23.3","9.0"
"9","WB",1986,1987,11,25,22,113,NA,NA,"24.8","15.5"
"10","EB",1986,1987,12,2,11,108,NA,NA,NA,"13.4"
"11","WB",1986,1987,12,2,12,110,NA,NA,NA,"19.0"
"12","EB",1987,1987,1,14,8,108,0.6,NA,"24.7","27.1"
"13","WB",1987,1987,1,14,8,102,0,NA,"24.3","21.7"
"14","EB",1987,1987,1,21,8,109,0.8,NA,"24.9","27.4"
"15","WB",1987,1987,1,21,8,102,0.1,NA,"24.5","23.9"
"16","EB",1987,1987,2,3,8.7,109,0.7,NA,"28.2","38.3"
"17","EB",1987,1987,2,3,8.5,106,0.2,NA,"28.9","36.1"
"18","WB",1987,1987,2,3,6.9,98,0.2,NA,"27.1","26.8"
"19","EB",1987,1987,2,17,7.6,106,NA,NA,"28.3","43.1"
"20","WB",1987,1987,2,17,8.7,98,NA,NA,"25.6","34.4"
"21","WB",1987,1987,2,17,8.7,96,NA,NA,"25.9","31.3"
"22","EB",1987,1987,3,4,5.4,107,1.1,NA,"27.2","49.5"
"23","WB",1987,1987,3,4,7.5,95,1.3,NA,"24.5","30.6"
"24","EB",1987,1987,3,10,5.3,102,1.6,NA,"30.0","46.4"
"25","WB",1987,1987,3,10,7.4,93,1.2,NA,"27.4","29.0"
"26","EB",1987,1987,3,18,4.3,108,NA,NA,"27.6","54.4"
"27","EB",1987,1987,3,18,5.1,101,1.1,NA,"29.1","52.4"
"28","WB",1987,1987,3,18,6.2,95,0.9,NA,"23.3","36.2"
"29","EB",1987,1987,3,23,10.5,106,1.3,NA,"30.5","48.4"
"30","WB",1987,1987,3,23,17.2,95,1.2,NA,"27.8","37.9"
"31","EB",1987,1987,3,25,13.2,99,1.2,NA,"24.6","18.2"
"32","WB",1987,1987,3,25,13.9,86,1.1,NA,"23.2","26.4"
"33","EB",1987,1987,3,27,24.4,97,1.5,NA,"25.6","8.2"
"34","WB",1987,1987,3,27,24.9,99,1.3,NA,"26.8","13.5"
"35","EB",1987,1987,3,29,21.5,96,1.5,NA,"23.7","5.0"
"36","WB",1987,1987,3,29,21.2,100,1.2,NA,"23.7","13.4"
"37","EB",1987,1987,4,1,25.9,81,2.4,NA,"27.2","-3.1"
"38","WB",1987,1987,4,1,28,97,2.1,NA,"29.4","4.0"
"39","EB",1987,1987,4,2,23.6,84,2.1,NA,"26.3","2.6"
"40","WB",1987,1987,4,2,26.5,98,1.7,NA,"29.0","0.1"
"41","EB",1987,1987,4,3,20.7,87,1.8,NA,"27.0","1.7"
"42","WB",1987,1987,4,3,22.9,98,1.5,NA,"29.2","2.0"
"43","WB",1987,1987,4,5,21,97,1.6,NA,"27.0","4.2"
"44","EB",1987,1987,4,5,15.7,85,1.9,NA,"24.5","4.4"
"45","EB",1987,1987,4,6,15.1,87,2.1,NA,"19.9","-1.3"
"46","WB",1987,1987,4,6,22.5,91,1.7,NA,"20.4","6.4"
"47","WB",1987,1987,4,7,17.3,97,1.6,NA,"25.7","0.2"
"48","EB",1987,1987,4,7,13.4,87,1.9,NA,"23.3","-0.4"
"49","EB",1987,1987,4,8,15.4,89,1.8,NA,"23.9","2.0"
"50","WB",1987,1987,4,8,20.6,99,1.4,NA,"26.0","3.9"
"51","EB",1987,1987,4,9,11.5,91,1.6,NA,"23.8","3.7"
"52","WB",1987,1987,4,9,17.4,97,1.3,NA,"25.8","6.3"
"53","EB",1987,1987,4,10,10.3,91,1.6,NA,"24.4","5.3"
"54","WB",1987,1987,4,10,15.7,97,NA,NA,"25.7","6.1"
"55","WB",1987,1987,4,10,15.9,97,1.4,NA,"25.3","6.0"
"56","EB",1987,1987,4,14,7.3,96,1.5,NA,"23.7","5.4"
"57","WB",1987,1987,4,14,13.2,97,1.3,NA,"25.2","8.5"
"58","WB",1987,1987,4,21,3.7,102,1.3,NA,"26.6","12.1"
"59","EB",1987,1987,4,21,8.1,102,1.6,NA,"25.7","19.4"
"60","EB",1987,1987,4,28,2.3,104,1.3,NA,"24.9","19.4"
"61","WB",1987,1987,4,28,6.6,101,1.1,NA,"25.4","16.7"
"62","EB",1987,1987,4,30,2.8,100,1.5,NA,"24.2","10.8"
"63","WB",1987,1987,4,30,7.2,98,1.2,NA,"25.2","15.4"
"64","EB",1987,1987,5,5,3.2,103,1.3,NA,"24.3","10.7"
