WY,NH4,NO3,SO4,NH4 mani
1989,102.0,230,408,0
1990,96.8,216,381,1886
1991,93.1,173,320,1905
1992,85.6,165,300,1812
1993,75.9,163,299,1812
1994,97.4,184,304,1800
1995,90.2,166,231,1800
1996,110.0,219,321,1800
1997,117.0,258,364,1800
1998,87.2,144,243,1800
1999,130.0,217,431,1800
2000,140.0,232,365,1800
2001,66.1,126,214,1800
2002,146.0,206,271,1800
2003,62.7,116,177,1800
2004,40.0,130,223,1800
2005,87.4,115,212,1800
2006,135.0,147,258,1800
2007,27.6,130,229,1800
2008,99.8,123,228,1800
2009,27.7,46,91,1800
2010,27.7,68,102,1800
2011,55.4,108,153,1800
2012,61.0,95,110,1800
2013,,78,105,1800
