Site,Watershed,ISCO Number,Record Type,Year,WY,Month,Day,Hour,Season,Julian Day,Running Day of Project,NH4 flag,NH4 (ueq/L),SO4 flag,SO4 (ueq/L),NMSO4 (ueq/L),NO3 flag,NO3 (ueq/L)
EB3,EB,,REG,1986,1987,10,1,11,FALL,274,274,,,,115,107,Half DL,0.05
WB3,WB,,REG,1986,1987,10,1,11,FALL,274,274,,,,110,102,Half DL,0.05
EB3,EB,,DUP,1986,1987,11,13,11,FALL,317,317,,,,112,105,,2
EB3,EB,,REG,1986,1987,11,13,11,FALL,317,317,,,,117,109,Half DL,0.05
WB3,WB,,REG,1986,1987,11,13,11,FALL,317,317,,,,107,99,,3
EB3,EB,,REG,1986,1987,11,17,11,FALL,321,321,,,,112,104,,2
WB3,WB,,REG,1986,1987,11,17,11,FALL,321,321,,,,107,99,,4
EB3,EB,,REG,1986,1987,11,25,11,FALL,329,329,,,,105,99,,18
WB3,WB,,REG,1986,1987,11,25,11,FALL,329,329,,,,113,107,,22
EB3,EB,,REG,1986,1987,12,2,11,WINTER,336,336,,,,108,102,,11
WB3,WB,,REG,1986,1987,12,2,11,WINTER,336,336,,,,110,104,,12
EB3,EB,,REG,1987,1987,1,14,11,WINTER,14,379,Half DL,1.4,,108,101,,8
WB3,WB,,REG,1987,1987,1,14,11,WINTER,14,379,Half DL,1.4,,102,94,,8
EB3,EB,,REG,1987,1987,1,21,11,WINTER,21,386,Half DL,1.4,,109,101,,8
WB3,WB,,REG,1987,1987,1,21,9,WINTER,21.38,386.38,Half DL,1.4,,102,94,,8
EB3,EB,,DUP,1987,1987,2,3,11,WINTER,34.46,399.46,Half DL,1.4,,109,102,,8.7
EB3,EB,,REG,1987,1987,2,3,11,WINTER,34.46,399.46,Half DL,1.4,,106,99,,8.5
WB3,WB,,REG,1987,1987,2,3,11,WINTER,34.46,399.46,Half DL,1.4,,98,90,,6.9
EB3,EB,,REG,1987,1987,2,17,11,WINTER,48.46,413.46,Half DL,1.4,,106,98,,7.6
WB3,WB,,DUP,1987,1987,2,17,12,WINTER,48.5,413.5,Half DL,1.4,,98,90,,8.7
WB3,WB,,REG,1987,1987,2,17,12,WINTER,48.5,413.5,Half DL,1.4,,96,88,,8.7
EB3,EB,,REG,1987,1987,3,4,12,SPRING,63.5,428.5,Half DL,1.4,,107,100,,5.4
WB3,WB,,REG,1987,1987,3,4,12,SPRING,63.5,428.5,Half DL,1.4,,95,87,,7.5
EB3,EB,,REG,1987,1987,3,10,11,SPRING,69.46,434.46,,,,102,95,,5.3
WB3,WB,,REG,1987,1987,3,10,11,SPRING,69.46,434.46,,,,93,86,,7.4
EB3,EB,,DUP,1987,1987,3,18,13,SPRING,77.54,442.54,Half DL,1.4,,108,101,,4.3
EB3,EB,,REG,1987,1987,3,18,13,SPRING,77.54,442.54,Half DL,1.4,,101,94,,5.1
WB3,WB,,REG,1987,1987,3,18,13,SPRING,77.54,442.54,Half DL,1.4,,95,88,,6.2
EB3,EB,,REG,1987,1987,3,23,15,SPRING,82.6,447.6,Half DL,1.4,,106,97,,10.5
WB3,WB,,REG,1987,1987,3,23,15,SPRING,82.6,447.6,Half DL,1.4,,95,86,,17.2
EB3,EB,,REG,1987,1987,3,25,11,SPRING,84.46,449.46,Half DL,1.4,,99,92,,13.2
WB3,WB,,REG,1987,1987,3,25,12,SPRING,84.5,449.5,Half DL,1.4,,86,79,,13.9
EB3,EB,,REG,1987,1987,3,27,11,SPRING,86.46,451.46,Half DL,1.4,,97,91,,24.4
WB3,WB,,REG,1987,1987,3,27,11,SPRING,86.46,451.46,Half DL,1.4,,99,91,,24.9
EB3,EB,,REG,1987,1987,3,29,10,SPRING,88.42,453.42,Half DL,1.4,,96,89,,21.5
WB3,WB,,REG,1987,1987,3,29,10,SPRING,88.42,453.42,Half DL,1.4,,100,93,,21.2
EB3,EB,,REG,1987,1987,4,1,13,SPRING,91.54,456.54,Half DL,1.4,,81,72,,25.9
WB3,WB,,REG,1987,1987,4,1,14,SPRING,91.58,456.58,Half DL,1.4,,97,88,,28
EB3,EB,,REG,1987,1987,4,2,13,SPRING,92.54,457.54,Half DL,1.4,,84,75,,23.6
WB3,WB,,REG,1987,1987,4,2,13,SPRING,92.54,457.54,Half DL,1.4,,98,88,,26.5
EB3,EB,,REG,1987,1987,4,3,11,SPRING,93.46,458.46,Half DL,1.4,,87,78,,20.7
WB3,WB,,REG,1987,1987,4,3,11,SPRING,93.46,458.46,Half DL,1.4,,98,89,,22.9
WB3,WB,,REG,1987,1987,4,5,16,SPRING,95.67,460.67,Half DL,1.4,,97,89,,21
