Watershed,Year,WY,Month,Day,NO3_ueq_L,SO4_ueq_L
EB,1986,1987,10,1,0.05,115
WB,1986,1987,10,1,0.05,110
EB,1986,1987,11,13,2,112
EB,1986,1987,11,13,0.05,117
WB,1986,1987,11,13,3,107
EB,1986,1987,11,17,2,112
WB,1986,1987,11,17,4,107
EB,1986,1987,11,25,18,105
WB,1986,1987,11,25,22,113
EB,1986,1987,12,2,11,108
WB,1986,1987,12,2,12,110
EB,1987,1987,1,14,8,108
WB,1987,1987,1,14,8,102
EB,1987,1987,1,21,8,109
WB,1987,1987,1,21,8,102
EB,1987,1987,2,3,8.7,109
EB,1987,1987,2,3,8.5,106
WB,1987,1987,2,3,6.9,98
EB,1987,1987,2,17,7.6,106
WB,1987,1987,2,17,8.7,98
WB,1987,1987,2,17,8.7,96
EB,1987,1987,3,4,5.4,107
WB,1987,1987,3,4,7.5,95
EB,1987,1987,3,10,5.3,102
WB,1987,1987,3,10,7.4,93
EB,1987,1987,3,18,4.3,108
EB,1987,1987,3,18,5.1,101
WB,1987,1987,3,18,6.2,95
EB,1987,1987,3,23,10.5,106
WB,1987,1987,3,23,17.2,95
EB,1987,1987,3,25,13.2,99
WB,1987,1987,3,25,13.9,86
EB,1987,1987,3,27,24.4,97
WB,1987,1987,3,27,24.9,99
EB,1987,1987,3,29,21.5,96
WB,1987,1987,3,29,21.2,100
EB,1987,1987,4,1,25.9,81
WB,1987,1987,4,1,28,97
EB,1987,1987,4,2,23.6,84
WB,1987,1987,4,2,26.5,98
EB,1987,1987,4,3,20.7,87
WB,1987,1987,4,3,22.9,98
WB,1987,1987,4,5,21,97
EB,1987,1987,4,5,15.7,85
EB,1987,1987,4,6,15.1,87
WB,1987,1987,4,6,22.5,91
WB,1987,1987,4,7,17.3,97
EB,1987,1987,4,7,13.4,87
EB,1987,1987,4,8,15.4,89
WB,1987,1987,4,8,20.6,99
EB,1987,1987,4,9,11.5,91
WB,1987,1987,4,9,17.4,97
EB,1987,1987,4,10,10.3,91
WB,1987,1987,4,10,15.7,97
WB,1987,1987,4,10,15.9,97
EB,1987,1987,4,14,7.3,96
WB,1987,1987,4,14,13.2,97
WB,1987,1987,4,21,3.7,102
EB,1987,1987,4,21,8.1,102
EB,1987,1987,4,28,2.3,104
WB,1987,1987,4,28,6.6,101
EB,1987,1987,4,30,2.8,100
WB,1987,1987,4,30,7.2,98
EB,1987,1987,5,5,3.2,103
WB,1987,1987,5,5,6.9,101
EB,1987,1987,5,7,4.3,100
WB,1987,1987,5,7,8.9,107
EB,1987,1987,5,12,2.5,105
WB,1987,1987,5,12,6.1,103
EB,1987,1987,5,19,1.6,107
WB,1987,1987,5,19,4.9,103
EB,1987,1987,5,26,0.8,105
WB,1987,1987,5,26,3.6,101
WB,1987,1987,6,2,2.9,104
EB,1987,1987,6,2,0.4,109
EB,1987,1987,6,9,1,106
WB,1987,1987,6,9,2.9,105
WB,1987,1987,6,17,1.4,103
EB,1987,1987,6,17,0.2,106
EB,1987,1987,6,17,0.1,108
WB,1987,1987,6,23,0.4,97
EB,1987,1987,6,23,0.05,109
EB,1987,1987,6,25,0.05,105
WB,1987,1987,6,25,0.7,99
WB,1987,1987,6,30,0.9,104
WB,1987,1987,6,30,0.7,107
EB,1987,1987,6,30,0.3,101
EB,1987,1987,7,7,0.05,107
WB,1987,1987,7,7,0.5,102
WB,1987,1987,7,14,0.6,102
EB,1987,1987,7,14,0.05,109
WB,1987,1987,7,21,1,106
EB,1987,1987,7,21,0.05,111
EB,1987,1987,7,28,1,109
WB,1987,1987,7,28,0.05,101
EB,1987,1987,8,4,0.05,110
WB,1987,1987,8,4,0.05,101
EB,1987,1987,8,11,0.05,114
WB,1987,1987,8,11,0.05,103
WB,1987,1987,8,18,0.05,99
WB,1987,1987,8,25,0.05,96
WB,1987,1987,9,1,1,97
WB,1987,1987,9,8,0.05,96
WB,1987,1987,9,8,0.05,94
WB,1987,1987,9,15,0.05,102
EB,1987,1987,9,15,0.05,114
