SITE_ID,YEAR,PRECIP,S_WET,S_DRY,S_TOTAL,N_WET,N_DRY,N_TOTAL,BC_DRY,BC_WET,BC_TOTAL,NS_TOTAL
HOW132,2000,103.153,3.196,2.072,5.268,2.821,2.539,5.361,0.123,0.228,0.35,0.711
HOW191,2000,104.077,3.207,2.037,5.244,2.838,2.447,5.285,0.115,0.225,0.34,0.705
HOW132,2001,64.256,2.088,2.192,4.28,1.988,2.778,4.766,0.117,0.079,0.195,0.607
HOW191,2001,65.424,2.123,2.151,4.274,2.024,2.676,4.7,0.109,0.079,0.188,0.602
HOW132,2002,101.427,3.276,1.865,5.141,3.323,2.863,6.187,0.148,0.174,0.322,0.763
HOW191,2002,101.167,3.269,1.827,5.096,3.326,2.759,6.085,0.139,0.17,0.309,0.752
HOW132,2003,123.925,3.24,2.09,5.33,3.045,2.892,5.937,0.117,0.145,0.263,0.757
HOW191,2003,124.274,3.247,2.046,5.293,3.051,2.792,5.842,0.119,0.147,0.266,0.747
HOW132,2004,94.6,2.75,1.698,4.448,2.273,2.692,4.966,0.138,0.113,0.251,0.632
HOW191,2004,94.662,2.742,1.674,4.416,2.27,2.588,4.858,0.135,0.112,0.246,0.622
HOW191,2005,172.685,3.541,1.798,5.339,2.811,2.167,4.978,0.097,0.12,0.217,0.689
HOW132,2005,171.145,3.489,1.88,5.369,2.762,2.258,5.021,0.102,0.119,0.22,0.693
HOW191,2006,139.245,3.69,1.84,5.531,2.833,2.281,5.114,0.093,0.209,0.302,0.71
HOW132,2006,138.291,3.674,1.913,5.586,2.817,2.342,5.158,0.099,0.209,0.307,0.717
HOW191,2007,123.353,3.576,1.431,5.008,2.907,2.066,4.974,0.102,0.212,0.313,0.668
HOW132,2007,122.649,3.567,1.482,5.048,2.89,2.131,5.02,0.108,0.216,0.324,0.673
HOW191,2008,137.878,2.957,1.546,4.503,2.592,2.07,4.662,0.129,0.231,0.361,0.614
HOW132,2008,137.75,2.968,1.605,4.573,2.593,2.135,4.728,0.135,0.236,0.372,0.623
HOW132,2009,124.765,1.758,0.946,2.704,1.944,1.797,3.741,0.128,0.125,0.253,0.436
HOW191,2009,125.434,1.758,0.914,2.672,1.954,1.749,3.703,0.121,0.123,0.245,0.431
HOW132,2010,126.589,1.725,0.748,2.473,1.915,1.538,3.453,0.134,0.151,0.285,0.401
HOW191,2010,126.956,1.722,0.73,2.452,1.916,1.51,3.425,0.129,0.149,0.278,0.398
HOW132,2011,122.434,1.924,0.659,2.584,2.543,1.799,4.342,0.131,0.141,0.273,0.471
HOW191,2011,122.276,1.919,0.678,2.597,2.543,1.753,4.296,0.122,0.139,0.261,0.469
HOW191,2012,123.382,1.621,0.526,2.147,2.565,1.7,4.265,0.096,0.15,0.246,0.438
HOW132,2012,122.961,1.619,0.551,2.17,2.553,1.755,4.308,0.104,0.151,0.254,0.443
HOW191,2013,114.665,1.393,0.579,1.973,2.188,1.624,3.812,0.104,0.139,0.243,0.395
HOW132,2013,114.226,1.392,0.605,1.997,2.175,1.673,3.848,0.111,0.141,0.252,0.399
HOW191,2014,135.354,1.381,0.677,2.058,2.219,1.694,3.913,0.109,0.147,0.255,0.408
HOW132,2014,135.65,1.385,0.72,2.106,2.232,1.747,3.979,0.116,0.147,0.263,0.415
HOW191,2015,106.878,0.911,0.731,1.642,1.749,1.657,3.406,0.089,0.108,0.197,0.346
HOW132,2015,106.445,0.903,0.773,1.676,1.74,1.707,3.448,0.095,0.107,0.203,0.351
HOW132,2016,109.186,0.983,0.579,1.563,2.005,1.547,3.552,0.101,0.156,0.258,0.351
HOW191,2016,109.758,0.981,0.555,1.536,2.006,1.509,3.516,0.096,0.155,0.25,0.347
HOW132,2017,114.463,1.091,0.67,1.761,2.078,1.612,3.69,0.096,0.207,0.303,0.373
HOW191,2017,114.52,1.095,0.63,1.726,2.076,1.577,3.653,0.09,0.208,0.298,0.368
HOW191,2018,133.717,1.004,0.386,1.391,2.263,1.498,3.76,0.094,0.17,0.264,0.355
HOW132,2018,134.033,1.006,0.406,1.412,2.266,1.536,3.801,0.1,0.171,0.271,0.36
