"WY","Watershed","Area","H2O","NO3","SO4","WY_group","period","NO3_vol_ueq_L","SO4_vol_ueq_L"
1989,"EB",10.9,106,182.8,1014,"1989","pre-treatment",18.8,104.27
1990,"EB",10.9,93,110.6,928,"1990-99","first decade",12.96,108.77
1991,"EB",10.9,106,144.3,996,"1990-99","first decade",14.84,102.42
1992,"EB",10.9,89,41.4,833,"1990-99","first decade",5.07,102.02
1993,"EB",10.9,84,25.7,755,"1990-99","first decade",3.33,97.97
1994,"EB",10.9,103,15.8,904,"1990-99","first decade",1.67,95.67
1995,"EB",10.9,66,13.3,587,"1990-99","first decade",2.2,96.94
1996,"EB",10.9,156,13.5,1212,"1990-99","first decade",0.94,84.68
1997,"EB",10.9,100,26,829,"1990-99","first decade",2.83,90.36
1998,"EB",10.9,105,7.6,864,"1990-99","first decade",0.79,89.69
1999,"EB",10.9,96,35.6,799,"1990-99","first decade",4.04,90.72
2000,"EB",10.9,114,15.3,894,"2000-09","second decade",1.46,85.48
2001,"EB",10.9,54,4.4,439,"2000-09","second decade",0.89,88.61
2002,"EB",10.9,76,7.5,615,"2000-09","second decade",1.08,88.2
2003,"EB",10.9,90,6.4,711,"2000-09","second decade",0.78,86.11
2004,"EB",10.9,118,2.9,911,"2000-09","second decade",0.27,84.15
2005,"EB",10.9,119,6.3,916,"2000-09","second decade",0.58,83.9
2006,"EB",10.9,144,9.4,1033,"2000-09","second decade",0.71,78.19
2007,"EB",10.9,108,19.8,728,"2000-09","second decade",2,73.47
2008,"EB",10.9,130,6.6,825,"2000-09","second decade",0.55,69.17
2009,"EB",10.9,155,1.8,1006,"2000-09","second decade",0.13,70.74
2010,"EB",10.9,109,0.1,679,"2010-16","third decade",0.01,67.9
2011,"EB",10.9,149,0.6,794,"2010-16","third decade",0.04,58.08
2012,"EB",10.9,130,11.3,712,"2010-16","third decade",0.95,59.7
2013,"EB",10.9,146,7.5,828,"2010-16","third decade",0.56,61.82
2014,"EB",10.9,91,5.8,454,"2010-16","third decade",0.69,54.38
2015,"EB",10.9,111,1.5,562,"2010-16","third decade",0.15,55.19
2016,"EB",10.9,107,7.4,466,"2010-16","third decade",0.75,47.47
2017,"EB",10.9,122,3.8,538,"2017-18","recovery",0.34,48.07
2018,"EB",10.9,123,1.9,569,"2017-18","recovery",0.17,50.42
1989,"WB",10.26,111,216,1177,"1989","pre-treatment",19.97,108.79
1990,"WB",10.26,94,185,1151,"1990-99","first decade",20.19,125.63
1991,"WB",10.26,114,502,1549,"1990-99","first decade",45.18,139.41
1992,"WB",10.26,90,373,1356,"1990-99","first decade",42.52,154.58
1993,"WB",10.26,97,414,1416,"1990-99","first decade",43.79,149.77
1994,"WB",10.26,115,409,2075,"1990-99","first decade",36.49,185.13
1995,"WB",10.26,65,395,1193,"1990-99","first decade",62.35,188.31
1996,"WB",10.26,132,443,2446,"1990-99","first decade",34.43,190.12
1997,"WB",10.26,89,354,1562,"1990-99","first decade",40.81,180.07
1998,"WB",10.26,115,444,2074,"1990-99","first decade",39.61,185.04
1999,"WB",10.26,99,717,1737,"1990-99","first decade",74.31,180.02
2000,"WB",10.26,103,450,1787,"2000-09","second decade",44.83,178.01
2001,"WB",10.26,51,205,907,"2000-09","second decade",41.24,182.47
2002,"WB",10.26,72,238,1355,"2000-09","second decade",33.92,193.09
2003,"WB",10.26,87,132,1551,"2000-09","second decade",15.57,182.91
2004,"WB",10.26,115,142,1991,"2000-09","second decade",12.67,177.63
2005,"WB",10.26,114,313,1930,"2000-09","second decade",28.17,173.7
2006,"WB",10.26,159,487,2427,"2000-09","second decade",31.43,156.61
2007,"WB",10.26,114,559,1699,"2000-09","second decade",50.31,152.91
2008,"WB",10.26,131,483,2021,"2000-09","second decade",37.83,158.29
2009,"WB",10.26,158,448,2349,"2000-09","second decade",29.09,152.54
2010,"WB",10.26,101,321,1485,"2010-16","third decade",32.61,150.85
2011,"WB",10.26,136,394,2030,"2010-16","third decade",29.72,153.15
2012,"WB",10.26,111,473,1631,"2010-16","third decade",43.72,150.76
2013,"WB",10.26,141,434,2081,"2010-16","third decade",31.58,151.43
2014,"WB",10.26,89,495,1305,"2010-16","third decade",57.06,150.44
2015,"WB",10.26,108,511,1363,"2010-16","third decade",48.54,129.48
2016,"WB",10.26,106,315,1446,"2010-16","third decade",30.49,139.96
2017,"WB",10.26,120,93,1598,"2017-18","recovery",7.95,136.63
2018,"WB",10.26,120,26,1347,"2017-18","recovery",2.22,115.17
