WY,S_in,N_in,data_type,Watershed,N_out,S_out,N_ret,S_ret,N_out2,S_out2,N_cumret,S_cumret
1989,10.03,8.870000000000001,measured,EB,2.66,16.208,6.210000000000001,-6.177999999999999,-2.66,-16.208,6.210000000000001,-6.177999999999999
1990,9.629999999999999,7.71,measured,EB,1.568,14.848,6.1419999999999995,-5.218000000000002,-1.568,-14.848,12.352,-11.396
1991,7.3100000000000005,6.6,measured,EB,2.044,15.936,4.555999999999999,-8.626,-2.044,-15.936,16.908,-20.022
1992,7.72,6.54,measured,EB,0.588,13.344,5.952,-5.624,-0.588,-13.344,22.86,-25.646
1993,7.25,6.16,measured,EB,0.35,12.096,5.8100000000000005,-4.846,-0.35,-12.096,28.67,-30.492
1994,6.6,6.47,measured,EB,0.238,14.464,6.231999999999999,-7.864000000000001,-0.238,-14.464,34.902,-38.356
1995,6.720000000000001,8.1,measured,EB,0.21,9.392,7.89,-2.671999999999999,-0.21,-9.392,42.792,-41.028
1996,8.25,9.13,measured,EB,0.252,19.392,8.878,-11.142,-0.252,-19.392,51.67,-52.17
1997,7.449999999999999,7.7299999999999995,measured,EB,0.378,13.248,7.351999999999999,-5.798,-0.378,-13.248,59.022,-57.967999999999996
1998,6.74,5.99,measured,EB,0.112,13.808,5.878,-7.068,-0.112,-13.808,64.9,-65.036
1999,10.77,9.35,measured,EB,0.56,12.784,8.79,-2.014000000000001,-0.56,-12.784,73.69,-67.05
2000,8.370000000000001,8.58,measured,EB,0.336,14.304,8.244,-5.933999999999999,-0.336,-14.304,81.934,-72.984
2001,5.66,6.25,measured,EB,0.056,7.04,6.194,-1.38,-0.056,-7.04,88.128,-74.364
2002,5.890000000000001,7.640000000000001,measured,EB,0.126,9.84,7.514,-3.9499999999999993,-0.126,-9.84,95.642,-78.314
2003,5.55,5.42,measured,EB,0.084,11.392,5.336,-5.842,-0.084,-11.392,100.978,-84.15599999999999
2004,4.25,2.8600000000000003,measured,EB,0.042,14.544,2.8180000000000005,-10.294,-0.042,-14.544,103.79599999999999,-94.45
2005,5.85,6.18,measured,EB,0.07,14.672,6.109999999999999,-8.822000000000001,-0.07,-14.672,109.90599999999999,-103.272
2006,6.34,7.24,measured,EB,0.644,16.544,6.596,-10.204,-0.644,-16.544,116.502,-113.476
2007,5.12,4.75,measured,EB,0.266,11.632,4.484,-6.512,-0.266,-11.632,120.986,-119.988
2008,5.63,5.37,measured,EB,0.266,13.232,5.104,-7.601999999999999,-0.266,-13.232,126.09,-127.59
2009,1.8599999999999999,1.67,measured,EB,0.028,16.08,1.642,-14.219999999999999,-0.028,-16.08,127.732,-141.81
2010,2.8200000000000003,2.73,measured,EB,0,10.896,2.73,-8.076,-0,-10.896,130.462,-149.886
2011,3.2199999999999998,3.59,measured,EB,0.014,12.72,3.576,-9.5,-0.014,-12.72,134.038,-159.386
2012,2.94,4.01,measured,EB,0.182,11.408,3.828,-8.468,-0.182,-11.408,137.86599999999999,-167.85399999999998
2013,2.51,3.81,estimated,EB,0.112,13.264,3.698,-10.754,-0.112,-13.264,141.564,-178.608
2014,2.49,3.9,estimated,EB,0.08120000000000001,7.264,3.8188,-4.774,-0.08120000000000001,-7.264,145.3828,-183.382
2015,1.65,2.4000000000000004,estimated,EB,0.0266,9.008,2.3734,-7.357999999999999,-0.0266,-9.008,147.7562,-190.74
2016,1.77,3.23,estimated,EB,0.1484,7.44,3.0816,-5.67,-0.1484,-7.44,150.8378,-196.41
2017,1.97,3.45,estimated,EB,0.13720000000000002,8.608,3.3128,-6.638000000000001,-0.13720000000000002,-8.608,154.1506,-203.048
2018,1.8199999999999998,4.05,estimated,EB,0.21140000000000003,9.088,3.8385999999999996,-7.267999999999999,-0.21140000000000003,-9.088,157.9892,-210.316
1989,10.03,8.870000000000001,measured,WB,3.122,18.832,5.748000000000001,-8.802000000000001,-3.122,-18.832,5.748000000000001,-8.802000000000001
1990,38.43,32.91,measured,WB,2.632,18.416,30.277999999999995,20.014,-2.632,-18.416,36.025999999999996,11.211999999999998
1991,36.11,31.799999999999997,measured,WB,7.154,24.784,24.645999999999997,11.326,-7.154,-24.784,60.672,22.537999999999997
1992,36.52,31.74,measured,WB,5.376,21.696,26.363999999999997,14.824000000000002,-5.376,-21.696,87.03599999999999,37.362
1993,36.05,31.36,measured,WB,6.146,22.656,25.214,13.393999999999998,-6.146,-22.656,112.24999999999999,50.756
1994,35.4,31.669999999999998,measured,WB,5.74,33.2,25.93,2.1999999999999957,-5.74,-33.2,138.17999999999998,52.955999999999996
1995,35.52,33.3,measured,WB,5.656,19.072,27.644,16.448000000000004,-5.656,-19.072,165.82399999999998,69.404
1996,37.05,34.33,measured,WB,6.37,39.12,27.959999999999997,-2.0700000000000003,-6.37,-39.12,193.784,67.334
1997,36.25,32.93,measured,WB,5.068,24.992,27.862000000000002,11.258,-5.068,-24.992,221.646,78.592
1998,35.54,31.189999999999998,measured,WB,6.272,33.184,24.918,2.3560000000000016,-6.272,-33.184,246.564,80.948
1999,39.57,34.55,measured,WB,10.43,27.792,24.119999999999997,11.777999999999999,-10.43,-27.792,270.68399999999997,92.726
2000,37.17,33.78,measured,WB,6.496,28.576,27.284,8.594000000000001,-6.496,-28.576,297.96799999999996,101.32
2001,34.46,31.45,measured,WB,2.898,14.512,28.552,19.948,-2.898,-14.512,326.52,121.268
2002,34.69,32.84,measured,WB,3.43,21.696,29.410000000000004,12.993999999999996,-3.43,-21.696,355.93,134.262
2003,34.35,30.619999999999997,measured,WB,2.184,24.8,28.435999999999996,9.55,-2.184,-24.8,384.366,143.81199999999998
2004,33.05,28.06,measured,WB,2.478,31.84,25.581999999999997,1.2099999999999973,-2.478,-31.84,409.948,145.022
2005,34.65,31.38,measured,WB,4.382,30.88,26.997999999999998,3.7699999999999996,-4.382,-30.88,436.94599999999997,148.792
2006,35.14,32.44,measured,WB,7.182,38.848,25.257999999999996,-3.7079999999999984,-7.182,-38.848,462.20399999999995,145.084
2007,33.92,29.95,measured,WB,8.26,27.184,21.689999999999998,6.736000000000001,-8.26,-27.184,483.89399999999995,151.82
2008,34.43,30.57,measured,WB,6.93,32.32,23.64,2.1099999999999994,-6.93,-32.32,507.534,153.93
2009,30.66,26.869999999999997,measured,WB,6.258,37.568,20.612,-6.907999999999998,-6.258,-37.568,528.146,147.022
2010,31.62,27.93,measured,WB,4.494,23.728,23.436,7.8919999999999995,-4.494,-23.728,551.582,154.914
2011,32.02,28.79,measured,WB,5.53,32.496,23.259999999999998,-0.4759999999999991,-5.53,-32.496,574.842,154.438
2012,31.740000000000002,29.21,measured,WB,6.636,26.128,22.574,5.612000000000002,-6.636,-26.128,597.4159999999999,160.05
2013,31.310000000000002,29.009999999999998,estimated,WB,6.09,33.296,22.919999999999998,-1.985999999999997,-6.09,-33.296,620.336,158.064
2014,31.29,29.099999999999998,estimated,WB,6.9201999999999995,20.864,22.1798,10.425999999999998,-6.9201999999999995,-20.864,642.5158,168.49
2015,30.45,27.6,estimated,WB,7.144199999999999,21.84,20.455800000000004,8.61,-7.144199999999999,-21.84,662.9716,177.1
2016,30.57,28.43,estimated,WB,4.6718,23.136,23.7582,7.434000000000001,-4.6718,-23.136,686.7298,184.534
2017,1.97,3.45,estimated,WB,1.4504,25.552,1.9996000000000003,-23.582,-1.4504,-25.552,688.7293999999999,160.952
2018,1.8199999999999998,4.05,estimated,WB,0.616,21.552,3.4339999999999997,-19.732,-0.616,-21.552,692.1634,141.22
