"Watershed","period","species","mean","se","summary"
"EB","pre-treatment","NO3_N",2.5592,NA,"2.56 ± NA"
"EB","pre-treatment","SO4_S",16.224,NA,"16.22 ± NA"
"EB","first decade","NO3_N",0.60732,0.204594650087544,"0.61 ± 0.2"
"EB","first decade","SO4_S",13.9312,0.824161537564087,"13.93 ± 0.82"
"EB","second decade","NO3_N",0.11256,0.0246735629999218,"0.11 ± 0.02"
"EB","second decade","SO4_S",12.9248,0.937522939571199,"12.92 ± 0.94"
"EB","third decade","NO3_N",0.0684,0.0224362801432561,"0.07 ± 0.02"
"EB","third decade","SO4_S",10.2742857142857,0.912771126434059,"10.27 ± 0.91"
"EB","recovery","NO3_N",0.0399,0.0133,"0.04 ± 0.01"
"EB","recovery","SO4_S",8.856,0.247999999999999,"8.86 ± 0.25"
"WB","pre-treatment","NO3_N",3.024,NA,"3.02 ± NA"
"WB","pre-treatment","SO4_S",18.832,NA,"18.83 ± NA"
"WB","first decade","NO3_N",5.9304,0.587481994050314,"5.93 ± 0.59"
"WB","first decade","SO4_S",26.4944,2.1454488636802,"26.49 ± 2.15"
"WB","second decade","NO3_N",4.8398,0.700441793917715,"4.84 ± 0.7"
"WB","second decade","SO4_S",28.8272,2.30296773171778,"28.83 ± 2.3"
"WB","third decade","NO3_N",5.886,0.423384773777549,"5.89 ± 0.42"
"WB","third decade","SO4_S",25.9222857142857,1.90360757403367,"25.92 ± 1.9"
"WB","recovery","NO3_N",0.833,0.469,"0.83 ± 0.47"
"WB","recovery","SO4_S",23.56,2.008,"23.56 ± 2.01"
